season,player_name,team,position,age,games_played,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goal_attempts,field_goal_pct,three_point_makes,three_point_attempts,three_point_pct,free_throws_made,free_throw_attempts,free_throw_pct,points_pg,rebounds_pg,assists_pg,ts_pct,effective_fg_pct,usage_rate,ast_pct,reb_pct,tov_pct,net_rating
2023-24,Colby Jones,SAC,,22.0,30,191.7367,64,40,20,7,5,10,28,71,0.394,2,22,0.091,6,11,0.545,2.1333,1.3333,0.6667,0.422,0.4085,0.178,0.1395,0.118,0.1165,1.5
2023-24,Terry Taylor,CHI,,24.0,31,187.63,46,37,10,5,2,7,20,39,0.513,2,9,0.222,4,5,0.8,1.4839,1.1935,0.3226,0.558,0.5385,0.108,0.0705,0.1102,0.1452,2.7
2023-24,Micah Potter,UTA,,26.0,16,186.06,53,43,6,4,6,5,19,40,0.475,9,21,0.429,6,8,0.75,3.3125,2.6875,0.375,0.609,0.5875,0.109,0.0401,0.1085,0.1031,-8.4
2023-24,Saben Lee,PHX,,25.0,24,184.9717,71,31,30,7,3,8,20,55,0.364,2,16,0.125,29,39,0.744,2.9583,1.2917,1.25,0.492,0.3818,0.186,0.2129,0.0991,0.0998,4.1
2023-24,Otto Porter Jr.,TOR,,31.0,15,174.0733,39,29,8,5,5,2,14,33,0.424,8,23,0.348,3,3,1.0,2.6,1.9333,0.5333,0.568,0.5455,0.083,0.0592,0.0881,0.0551,4.7
2023-24,AJ Griffin,ATL,,20.0,20,170.73,48,18,5,1,2,8,18,62,0.29,10,39,0.256,2,2,1.0,2.4,0.9,0.25,0.382,0.371,0.167,0.0372,0.0569,0.1129,-14.0
2023-24,Joe Harris,DET,,32.0,16,169.9783,39,13,10,3,2,4,14,39,0.359,10,30,0.333,1,2,0.5,2.4375,0.8125,0.625,0.489,0.4872,0.104,0.0832,0.0447,0.0912,-14.5
2023-24,Trevelin Queen,ORL,,27.0,14,164.7267,40,20,18,7,5,7,14,38,0.368,3,17,0.176,9,12,0.75,2.8571,1.4286,1.2857,0.462,0.4079,0.137,0.1449,0.0714,0.1392,0.2
2023-24,Zavier Simpson,DET,,27.0,7,161.3833,42,20,25,7,3,10,17,54,0.315,5,17,0.294,3,4,0.75,6.0,2.8571,3.5714,0.377,0.3611,0.161,0.2265,0.0724,0.1521,-8.6
2023-24,Thanasis Antetokounmpo,MIL,,31.0,34,155.4317,32,13,17,7,4,14,16,30,0.533,0,1,0.0,0,2,0.0,0.9412,0.3824,0.5,0.518,0.5333,0.125,0.1406,0.0476,0.3119,-12.8
2023-24,Tristan Vukcevic,WAS,,21.0,10,153.4117,85,36,13,5,7,10,29,67,0.433,10,36,0.278,17,22,0.773,8.5,3.6,1.3,0.554,0.5075,0.233,0.1161,0.1145,0.1154,10.4
2023-24,Darius Bazley,UTA,,24.0,9,151.825,48,28,7,6,7,8,18,30,0.6,2,8,0.25,10,12,0.833,5.3333,3.1111,0.7778,0.68,0.6333,0.118,0.0585,0.0866,0.1848,-11.3
