"team","season","wins","loses","points_pg","opponent_points_pg","avg_fg_pct","avg_three_point_pct","avg_offensive_rebounds","avg_defensive_rebounds","avg_apg","avg_spg","avg_bpg","avg_to","off_rating_est","def_rating_est","net_rating"
"UTA","2023-24",31,51,115.6585,120.5488,0.4676,0.3531,12.2195,33.2317,27.2195,6.5488,5.5854,15.6707,112.4622,117.308,-4.8458
"WAS","2023-24",15,67,113.7439,123.0366,0.4708,0.3475,9.2073,31.8659,27.9024,7.5976,5.0610,13.9878,108.066,116.9111,-8.8452
"ATL","2024-25",40,42,118.1829,119.3171,0.4736,0.3571,11.8780,32.6220,29.5854,9.7317,5.1098,15.5244,111.8184,112.7962,-0.9777
"BKN","2024-25",26,56,105.1098,112.2195,0.4382,0.3424,10.9024,30.4024,25.1585,7.7927,4.2927,15.1707,105.753,112.8042,-7.0512
"BOS","2024-25",61,21,116.2683,107.1585,0.4631,0.3691,11.3780,33.9390,26.1463,7.1829,5.5122,11.8659,117.5429,108.2825,9.2604
"CHA","2024-25",19,63,105.0976,114.2073,0.4310,0.3372,12.2317,32.9634,24.3171,7.4024,4.4878,15.5000,104.4043,113.451,-9.0468
"CHI","2024-25",39,43,117.8049,119.3659,0.4706,0.3685,10.0610,35.7927,29.0610,7.5732,4.7073,14.6707,111.6012,113.0647,-1.4635
"CLE","2024-25",64,18,121.939,112.4024,0.4915,0.3846,11.1829,34.2195,28.0976,8.1707,4.2683,13.1951,118.754,109.4509,9.3031
"DAL","2024-25",39,43,114.1951,115.3902,0.4798,0.3625,10.0976,32.9512,25.2439,7.7561,5.4268,14.0366,112.0448,113.1769,-1.1321
"DEN","2024-25",50,32,120.7561,116.8659,0.5073,0.3766,11.2073,34.5366,31.0000,8.0000,4.9024,14.2561,117.0429,113.3551,3.6879
"DET","2024-25",44,38,115.5,113.5976,0.4771,0.3624,11.3537,33.4024,26.4024,7.9512,5.2561,14.8659,112.0276,110.1574,1.8703
"GSW","2024-25",48,34,113.7927,110.4878,0.4516,0.3630,12.5488,32.8293,29.0976,9.4024,4.7683,14.0488,112.1016,108.9199,3.1817
"HOU","2024-25",52,30,114.2927,109.7805,0.4551,0.3525,14.6341,33.8293,23.3415,8.4024,5.0122,13.8902,111.8648,107.6237,4.2411
"IND","2024-25",50,32,117.3659,115.1341,0.4884,0.3668,9.1707,32.6585,29.2439,8.4634,5.4634,13.1951,113.9851,111.7175,2.2677
"LAC","2024-25",50,32,112.878,108.2195,0.4831,0.3773,10.2561,33.5366,25.1707,9.4268,4.5122,14.8780,112.5535,107.895,4.6585
"LAL","2024-25",50,32,113.3902,112.1707,0.4797,0.3648,9.6585,32.7683,25.9878,7.7195,4.4756,13.9634,112.9974,111.8327,1.1647
"MEM","2024-25",48,34,121.7073,116.8537,0.4797,0.3659,12.8780,34.3780,28.4146,8.8537,5.6341,15.6707,114.5543,109.9522,4.6021
"MIA","2024-25",37,45,110.5976,110.0366,0.4659,0.3703,9.7317,33.6585,26.4146,8.1463,3.8293,13.5854,111.0665,110.5363,0.5301
"MIL","2024-25",48,34,115.5122,113.0366,0.4886,0.3878,8.2195,35.1463,25.4878,7.3293,4.6829,13.3780,113.5064,111.0783,2.4281
"MIN","2024-25",49,33,114.2927,109.2927,0.4699,0.3771,11.0732,33.2439,26.1220,7.9756,4.9512,14.4634,113.7626,108.7012,5.0613
"NOP","2024-25",21,61,109.8293,119.2561,0.4525,0.3449,12.1098,31.5000,25.8415,8.5488,5.2317,14.6463,107.5071,116.8683,-9.3612
"NYK","2024-25",51,31,115.7805,111.6829,0.4867,0.3662,10.8537,31.7927,27.4878,8.1829,3.9512,13.2683,115.353,111.3708,3.9822
"OKC","2024-25",68,14,120.5,107.6341,0.4821,0.3736,10.6220,34.1585,26.8537,10.3293,5.6707,11.7195,117.2261,104.8238,12.4023
"ORL","2024-25",41,41,105.4268,105.5488,0.4458,0.3166,11.1463,30.6951,23.0122,8.8902,5.9512,14.2073,106.672,106.7434,-0.0714
"PHI","2024-25",24,58,109.6098,115.8415,0.4549,0.3408,10.3902,29.4024,23.1829,9.1707,4.4634,13.6220,109.0031,115.2588,-6.2556
"PHX","2024-25",36,46,113.622,116.622,0.4787,0.3772,9.5488,32.9390,27.7683,7.2317,4.7805,14.0610,113.5232,116.4841,-2.9609
"POR","2024-25",36,46,110.8902,113.8659,0.4517,0.3427,13.3537,31.4146,23.8049,8.2683,5.2805,15.9634,108.7715,111.5035,-2.732
"SAC","2024-25",40,42,115.7317,115.2561,0.4791,0.3559,10.9878,33.2073,26.4512,7.5610,4.3537,13.3171,113.9437,113.4598,0.4839
"SAS","2024-25",34,48,113.9268,116.6829,0.4661,0.3574,10.9268,32.7439,28.6341,8.2195,5.5488,13.8780,111.6489,114.2998,-2.6509
